,Date,TotalPositiveCases,NewPositiveCases,Deaths,Recovered,HospitalizedPatients,TotalHospitalizedPatients
0,2020-01-20,1,1,0,0,1,1
1,2020-01-21,1,0,0,0,1,2
2,2020-01-22,1,0,0,0,1,3
3,2020-01-23,1,1,0,0,2,5
4,2020-01-24,2,0,0,0,2,7
5,2020-01-25,2,0,0,0,2,9
6,2020-01-26,3,1,0,0,3,12
7,2020-01-27,4,1,0,0,4,16
8,2020-01-28,4,0,0,0,4,20
9,2020-01-29,4,0,0,0,4,24
10,2020-01-30,6,3,0,0,7,31
11,2020-01-31,11,4,0,0,10,41
12,2020-02-01,12,1,0,0,10,51
13,2020-02-02,15,3,0,0,11,62
14,2020-02-03,15,1,0,0,12,74
15,2020-02-04,16,0,0,0,12,86
16,2020-02-05,18,5,0,1,12,98
17,2020-02-06,23,2,0,2,9,107
18,2020-02-07,24,1,0,2,10,117
19,2020-02-08,24,0,0,2,8,125
20,2020-02-09,27,3,0,3,9,134
21,2020-02-10,27,1,0,4,9,143
22,2020-02-11,28,0,0,4,7,150
23,2020-02-12,28,0,0,7,6,156
24,2020-02-13,28,0,0,7,4,160
25,2020-02-14,28,0,0,7,3,163
26,2020-02-15,28,0,0,9,3,166
27,2020-02-16,29,2,0,9,3,169
28,2020-02-17,30,0,0,10,3,172
29,2020-02-18,31,9,0,12,8,180
30,2020-02-19,51,28,0,16,27,207
31,2020-02-20,104,42,1,16,59,266
32,2020-02-21,204,37,2,17,82,348
33,2020-02-22,433,72,2,18,129,477
34,2020-02-23,602,75,6,18,185,662
35,2020-02-24,833,57,8,24,216,878
36,2020-02-25,977,94,12,24,263,1141
37,2020-02-26,1261,125,12,24,306,1447
38,2020-02-27,1766,115,13,26,360,1807
39,2020-02-28,2337,137,13,27,358,2165
40,2020-02-29,3150,103,17,28,302,2467
41,2020-03-01,3736,133,18,30,256,2723
42,2020-03-02,4212,68,22,31,210,2933
43,2020-03-03,4812,114,28,34,178,3111
44,2020-03-04,5328,116,32,41,119,3230
45,2020-03-05,5766,145,35,88,75,3305
46,2020-03-06,6284,101,42,108,55,3360
47,2020-03-07,6767,57,44,118,26,3386
48,2020-03-08,7134,56,50,130,7,3393
49,2020-03-09,7382,69,51,166,2,3395
50,2020-03-10,7513,96,54,247,2,3397
51,2020-03-11,7755,53,60,288,1,3398
52,2020-03-12,7869,37,66,333,1,3399
53,2020-03-13,7979,35,67,510,1,3400
54,2020-03-14,8086,34,72,714,1,3401
55,2020-03-15,8126,37,75,834,1,3402
56,2020-03-16,8236,54,75,1137,1,3403
57,2020-03-17,8320,43,81,1401,1,3404
58,2020-03-18,8413,59,84,1540,0,3404
59,2020-03-19,8565,50,91,1947,0,3404
60,2020-03-20,8652,73,94,2233,0,3404
61,2020-03-21,8799,38,102,2612,0,3404
62,2020-03-22,8897,31,104,2909,0,3404
63,2020-03-23,8961,23,111,3166,0,3404
64,2020-03-24,9037,57,120,3507,0,3404
65,2020-03-25,9137,47,126,3730,0,3404
66,2020-03-26,9241,48,131,4144,0,3404
67,2020-03-27,9332,48,139,4528,0,3404
68,2020-03-28,9478,67,144,4811,0,3404
69,2020-03-29,9583,55,152,5033,0,3404
70,2020-03-30,9661,46,158,5228,0,3404
71,2020-03-31,9786,76,162,5408,0,3404
72,2020-04-01,9887,48,165,5567,0,3404
73,2020-04-02,9976,56,169,5828,0,3404
74,2020-04-03,10062,44,174,6021,0,3404
75,2020-04-04,10156,40,177,6325,0,3404
76,2020-04-05,10237,26,183,6463,0,3404
77,2020-04-06,10284,19,186,6598,0,3404
78,2020-04-07,10331,5,192,6694,0,3404
